WeatherPy_Database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
132,Nioki,CD,-2.7167,17.6833,70.2,98,93,2.08,overcast clouds
133,Port Lincoln,AU,-34.7333,135.8667,52.9,63,46,21.23,scattered clouds
134,Portland,US,45.5234,-122.6762,45.77,55,0,11.5,clear sky
135,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,69,40,10.36,scattered clouds
136,Bara,NG,10.3744,10.7288,80.1,25,47,7.38,scattered clouds
137,Kupang,ID,-10.1667,123.5833,77.58,94,75,4.61,broken clouds
138,Tiarei,PF,-17.5333,-149.3333,80.62,73,42,14.9,scattered clouds
139,Hays,US,30.0502,-98.0336,46.04,58,100,1.99,overcast clouds
140,Chapais,CA,49.7834,-74.8492,11.98,92,100,12.91,light snow
141,Constitucion,CL,-35.3333,-72.4167,66.02,48,0,19.62,clear sky
142,Khash,IR,28.2211,61.2158,56.39,38,48,8.72,scattered clouds
143,Praia,CV,14.9215,-23.5087,79.34,61,40,23.02,scattered clouds
144,Fortuna,US,40.5982,-124.1573,53.94,71,0,3.44,clear sky
145,Yelizovo,RU,53.1873,158.3805,10.54,72,0,8.95,clear sky
146,Harrison,US,30.4091,-89.0436,52.05,47,0,14.97,clear sky
147,Ahipara,NZ,-35.1667,173.1667,62.51,90,100,10.6,overcast clouds
148,Cacapava Do Sul,BR,-30.5122,-53.4914,86.97,30,100,4.88,overcast clouds
149,Qaanaaq,GL,77.484,-69.3632,-8.54,58,7,2.17,clear sky
150,Nome,US,64.5011,-165.4064,33.87,69,40,8.05,scattered clouds
151,Berdigestyakh,RU,62.0989,126.6992,-28.73,100,100,2.42,overcast clouds
152,Tacoronte,ES,28.4769,-16.4102,65.8,83,75,10.0,broken clouds
153,Samana,DO,19.2056,-69.3369,86.22,74,40,4.61,scattered clouds
154,Dawlatabad,AF,36.4141,64.9053,54.73,69,11,4.03,few clouds
155,Cherskiy,RU,68.75,161.3,-13.59,98,100,8.03,overcast clouds
156,Parfino,RU,57.9731,31.6481,14.74,97,62,3.51,broken clouds
157,Ilulissat,GL,69.2167,-51.1,17.62,67,40,0.0,scattered clouds
158,Aasiaat,GL,68.7098,-52.8699,15.98,94,100,7.34,overcast clouds
159,Olinda,BR,-8.0089,-34.8553,83.93,61,40,11.5,scattered clouds
160,Noumea,NC,-22.2763,166.4572,75.99,99,26,4.54,scattered clouds
161,Coquimbo,CL,-29.9533,-71.3436,64.13,72,20,13.8,few clouds
162,Sao Joao Da Barra,BR,-21.6403,-41.0511,84.29,74,24,11.88,few clouds
163,Santa Cruz Del Sur,CU,20.7147,-77.9956,84.99,58,7,8.5,moderate rain
164,Muzaffargarh,PK,30.0754,71.1921,62.62,31,0,2.82,clear sky
165,Usinsk,RU,65.9939,57.5281,31.95,98,100,18.05,light snow
166,Saint-Georges,GD,12.0564,-61.7485,85.68,74,20,18.41,few clouds
167,Narsaq,GL,60.9167,-46.05,26.82,81,100,1.03,overcast clouds
168,Bethel,US,41.3712,-73.414,36.54,41,40,19.57,scattered clouds
169,Esperance,AU,-33.8667,121.9,55.6,61,99,7.87,overcast clouds
170,Namatanai,PG,-3.6667,152.4333,78.35,78,100,7.43,overcast clouds
171,Blagoyevo,RU,63.3667,47.9167,25.21,96,100,5.23,overcast clouds
172,Mahebourg,MU,-20.4081,57.7,75.49,73,40,8.05,scattered clouds
173,Margate,GB,51.3813,1.3862,45.7,84,100,3.0,overcast clouds
