City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
201,Comodoro Rivadavia,AR,2022-11-18 18:22:30,-45.8667,-67.5,78.66,22,0,20.71
202,Sobolevo,RU,2022-11-18 18:22:31,54.4299,31.8996,22.91,73,95,4.29
203,Esperance,AU,2022-11-18 18:22:31,-33.8667,121.9,54.48,64,99,23.89
204,Tezu,IN,2022-11-18 18:22:31,27.9167,96.1667,61.32,40,0,4.74
205,Luis Correia,BR,2022-11-18 18:22:32,-2.8792,-41.6669,87.8,66,20,18.41
206,Terrace,CA,2022-11-18 18:22:32,54.5163,-128.6035,22.91,68,75,17.27
207,Vangaindrano,MG,2022-11-18 18:22:32,-23.35,47.6,74.05,93,36,6.73
208,Bloomfield,US,2022-11-18 18:19:50,40.8068,-74.1854,45.86,41,40,18.41
209,Sao Filipe,CV,2022-11-18 18:22:33,14.8961,-24.4956,81.64,59,100,9.66
210,Praia Da Vitoria,PT,2022-11-18 18:22:33,38.7333,-27.0667,62.85,72,75,2.35
211,Luganville,VU,2022-11-18 18:22:34,-15.5333,167.1667,77.97,84,6,2.15
212,Kaeo,NZ,2022-11-18 18:22:34,-35.1,173.7833,58.32,96,18,12.66
213,Klaksvik,FO,2022-11-18 18:22:34,62.2266,-6.589,47.32,84,99,33.11
214,Fare,PF,2022-11-18 18:22:35,-16.7,-151.0167,78.53,79,84,10.85
215,Wanxian,CN,2022-11-18 18:22:35,30.8039,108.3897,61.39,80,100,1.57
216,Illapel,CL,2022-11-18 18:22:36,-31.6308,-71.1653,82.74,39,0,9.66
217,Sarakhs,IR,2022-11-18 18:22:36,36.5449,61.1577,56.71,48,50,4.92
218,Brae,GB,2022-11-18 18:22:36,60.3964,-1.353,46.89,74,100,29.08
219,Poplar Bluff,US,2022-11-18 18:18:14,36.757,-90.3929,38.98,36,100,10.36
220,Nador,MA,2022-11-18 18:22:37,35.174,-2.9287,62.85,67,20,18.41
221,Yulara,AU,2022-11-18 18:22:37,-25.2406,130.9889,78.26,23,0,18.23
222,Peleduy,RU,2022-11-18 18:22:37,59.6289,112.7406,-21.21,100,78,3.24
223,Iqaluit,CA,2022-11-18 18:20:37,63.7506,-68.5145,17.33,86,100,12.66
224,Namibe,AO,2022-11-18 18:22:38,-15.1961,12.1522,72.28,78,24,7.14
225,Ugoofaaru,MV,2022-11-18 18:22:38,5.6667,73.0,82.11,74,100,5.79
226,Severo-Kurilsk,RU,2022-11-18 18:22:39,50.6789,156.125,33.1,65,88,17.54
227,Bondo,CD,2022-11-18 18:22:39,3.8146,23.6866,70.47,90,95,3.33
228,Kinango,KE,2022-11-18 18:22:39,-4.1372,39.3153,78.91,93,64,3.6
229,Eloy,US,2022-11-18 18:22:40,32.7559,-111.5548,67.86,34,52,3.06
230,Lovington,US,2022-11-18 18:22:40,32.944,-103.3485,34.65,61,100,3.0
231,San Rafael,AR,2022-11-18 18:23:40,-34.6177,-68.3301,83.48,36,9,15.55
232,Constitucion,CL,2022-11-18 18:23:41,-35.3333,-72.4167,68.23,66,19,19.82
233,Wairoa,NZ,2022-11-18 18:23:41,-39.0333,177.3667,62.55,80,21,7.23
234,Alamosa,US,2022-11-18 18:23:41,37.4695,-105.87,26.58,59,0,5.75
235,Bubaque,GW,2022-11-18 18:23:42,11.2833,-15.8333,83.68,63,100,7.31
236,Chokurdakh,RU,2022-11-18 18:23:42,70.6333,147.9167,-5.26,98,100,6.93
237,Port-Gentil,GA,2022-11-18 18:23:43,-0.7193,8.7815,80.56,78,20,8.05
238,Cururupu,BR,2022-11-18 18:23:43,-1.8283,-44.8683,86.27,56,93,6.89
239,Yambio,SS,2022-11-18 18:23:43,4.5721,28.3955,72.01,79,79,6.02
240,Acajutla,SV,2022-11-18 18:23:44,13.5928,-89.8275,87.15,55,2,4.61
241,Ponta Do Sol,PT,2022-11-18 18:23:44,32.6667,-17.1,66.83,51,12,10.87
242,Kieta,PG,2022-11-18 18:23:44,-6.2167,155.6333,78.75,86,100,2.84
243,Adrar,MR,2022-11-18 18:21:56,20.5022,-10.0711,75.69,11,0,9.1
244,Glendive,US,2022-11-18 18:23:13,47.1053,-104.7125,19.76,57,0,17.27
245,Barrow,US,2022-11-18 18:21:50,71.2906,-156.7887,33.82,80,75,27.63
246,Itoman,JP,2022-11-18 18:23:45,26.1247,127.6694,75.22,88,20,5.75
247,Srednekolymsk,RU,2022-11-18 18:23:46,67.45,153.6833,-11.54,97,98,9.8
248,West Wendover,US,2022-11-18 18:23:46,40.7391,-114.0733,33.01,29,0,6.91
249,Katherine,AU,2022-11-18 18:23:46,-14.4667,132.2667,80.92,74,95,4.61
250,Sorong,ID,2022-11-18 18:23:43,-0.8833,131.25,81.48,82,100,12.37
